,literature,year_published,journal,date,species,location,ecosystem_type,region,shellsize_mean,shellsize_range,unit_size,estimated_dtw,water_temp,temp_unit,replication,tss_raw,unit_tss_raw,tss_convert,unit_tss_convert,tss_type,CR_raw,unit_CR_raw,CR_convert,unit_CR_convert,CRdata_from,remark
1,Liu et al. 2009,2009,Limnology,NA,Unio douglasiae,"Lake Dongting and Lake Taihu, China",lake,Asia,NA,54-62,mm,NA,25,C,3,1.00E+06,cells/ml,30,mg/L,algae (Scenedesmus obliquus),0.17438017,ml/(h*dtw mg),174,ml/(h*dtw g),fig1,
2,Liu et al. 2009,2009,Limnology,NA,Unio douglasiae,"Lake Dongting and Lake Taihu, China",lake,Asia,NA,54-62,mm,NA,25,C,3,1.00E+06,cells/ml,10,mg/L,algae (non-toxic Microcystis aeruginosa),0.19752066,ml/(h*dtw mg),198,ml/(h*dtw g),fig1,
3,Liu et al. 2009,2009,Limnology,NA,Unio douglasiae,"Lake Dongting and Lake Taihu, China",lake,Asia,NA,54-62,mm,NA,25,C,3,1.00E+06,cells/ml,10,mg/L,algae (toxic Microcystis aeruginosa),0.25619835,ml/(h*dtw mg),256,ml/(h*dtw g),fig1,
4,Liu et al. 2009,2009,Limnology,NA,Unio douglasiae,"Lake Dongting and Lake Taihu, China",lake,Asia,NA,54-62,mm,NA,25,C,3,1.00E+06,cells/ml,20,mg/L,algae (mixed food; S+nM),0.428,ml/(h*dtw mg),428,ml/(h*dtw g),fig1,averaged for S and M
5,Liu et al. 2009,2009,Limnology,NA,Unio douglasiae,"Lake Dongting and Lake Taihu, China",lake,Asia,NA,54-62,mm,NA,25,C,3,1.00E+06,cells/ml,20,mg/L,algae (mixed food; S+tM),0.362,ml/(h*dtw mg),362,ml/(h*dtw g),fig1,averaged for S and M
6,Ferreira-Rodriguez et al. 2018,2018,Aquatic Conservation,NA,Unio delphinus,"Mino river, Spain",river,Europe,54.6,NA,mm,NA,16,C,3,1,mg/L,1,mg/L,neutral red dye particles,9.880316,ml/(cm*h),709,ml/(h*dtw g),fig3b,Unexposed treatment
7,Gatenby et al. 2013,2013,Freshwater Mollusk Biology and Conservation,NA,Villosa iris,"Copper Creek, Virginia, USA",river,North America,43.4,NA,mm,0.71,20,C,12,8.8,mg/L,8.8,mg/L,algae (Neochloris oleoabundans),18.156418,ml/(h*ind),26,ml/(h*dtw g),fig1,Value at ~25h; CR converted based on mean mussel size
8,Baker and Hornbach 2000,2000,The American Midland Naturalist,NA,Amblema plicata,"Lake Pepin, Minnesota, USA",lake,North America,NA,74-96,mm,NA,18,C,15,12.4,mg/L,12.4,mg/L,diatom paste,227.87851,ml/(h*dtw g),228,ml/(h*dtw g),fig1,Non-infested with zebra mussel
9,Baker and Hornbach 2000,2000,The American Midland Naturalist,NA,Amblema plicata,"Lake Pepin, Minnesota, USA",lake,North America,NA,74-96,mm,NA,18,C,15,12.4,mg/L,12.4,mg/L,diatom paste,173.05124,ml/(h*dtw g),173,ml/(h*dtw g),fig1,Infested with zebra mussel
10,Vanderploeg et al. 1995,1995,Canadian Journal of Fisheries and Aquatic Sciences,NA,Lampsilis siliquoidea,"Lake St. Clair, Michigan, USA",lake,North America,NA,NA,mm,NA,20,C,6,3.39,mm^3/L,3.39,mg/L,seston,721,ml/(h*dtw g),721,ml/(h*dtw g),table4,seston density was assumed to be 1 (1mm^3 = 1mg)
11,Vanderploeg et al. 1995,1995,Canadian Journal of Fisheries and Aquatic Sciences,NA,Lampsilis siliquoidea,"Lake St. Clair, Michigan, USA",lake,North America,NA,NA,mm,NA,13,C,3,3.99,mm^3/L,3.99,mg/L,seston,618,ml/(h*dtw g),618,ml/(h*dtw g),table4,seston density was assumed to be 1 (1mm^3 = 1mg)
12,Vanderploeg et al. 1995,1995,Canadian Journal of Fisheries and Aquatic Sciences,NA,Lampsilis siliquoidea,"Lake St. Clair, Michigan, USA",lake,North America,NA,NA,mm,NA,11,C,3,2.32,mm^3/L,2.32,mg/L,seston,420,ml/(h*dtw g),420,ml/(h*dtw g),table4,seston density was assumed to be 1 (1mm^3 = 1mg)
